GEOID,NAME,est2019,est2021,shift,mn
0950370,"New Britain city, Connecticut",22.8,22.4,-0.4,22.6
0952000,"New Haven city, Connecticut",22.6,22.2,-0.4,22.4
1210275,"Cape Coral city, Florida",28.9,28.5,-0.4,28.7
1712385,"Champaign city, Illinois",15.2,14.8,-0.4,15
1718823,"Decatur city, Illinois",17.9,17.5,-0.4,17.7
1921000,"Des Moines city, Iowa",19.1,18.7,-0.4,18.9
3916000,"Cleveland city, Ohio",23.2,22.8,-0.4,23
4269000,"Scranton city, Pennsylvania",20.8,20.4,-0.4,20.6
4845000,"Lubbock city, Texas",16.2,15.8,-0.4,16
4967440,"Sandy city, Utah",23.7,23.3,-0.4,23.5
4983470,"West Valley City city, Utah",22.4,22,-0.4,22.2
5116000,"Chesapeake city, Virginia",25.5,25.1,-0.4,25.3
0454050,"Peoria city, Arizona",30,29.5,-0.5,29.8
1759000,"Peoria city, Illinois",17.1,16.6,-0.5,16.9
1836003,"Indianapolis city (balance), Indiana",24.1,23.6,-0.5,23.9
1982425,"Waterloo city, Iowa",16.1,15.6,-0.5,15.9
2938000,"Kansas City city, Missouri",22.2,21.7,-0.5,22
4419180,"Cranston city, Rhode Island",24,23.5,-0.5,23.8
4530850,"Greenville city, South Carolina",20.7,20.2,-0.5,20.4
4740000,"Knoxville city, Tennessee",20.8,20.3,-0.5,20.6
4813024,"Carrollton city, Texas",25,24.5,-0.5,24.8
5135000,"Hampton city, Virginia",21.7,21.2,-0.5,21.4
0669196,"Santa Maria city, California",22.3,21.7,-0.6,22
1245975,"Miramar city, Florida",29.6,29,-0.6,29.3
1825000,"Fort Wayne city, Indiana",21.8,21.2,-0.6,21.5
2071000,"Topeka city, Kansas",17.7,17.1,-0.6,17.4
3775000,"Winston-Salem city, North Carolina",22.2,21.6,-0.6,21.9
3977000,"Toledo city, Ohio",20.2,19.6,-0.6,19.9
4009050,"Broken Arrow city, Oklahoma",21.9,21.3,-0.6,21.6
4874144,"Tyler city, Texas",21.7,21.1,-0.6,21.4
4955980,"Ogden city, Utah",22.4,21.8,-0.6,22.1
0615044,"Compton city, California",31.9,31.2,-0.7,31.5
0659451,"Rancho Cucamonga city, California",33.2,32.5,-0.7,32.9
0662938,"Roseville city, California",29.4,28.7,-0.7,29
1805860,"Bloomington city, Indiana",16.1,15.4,-0.7,15.8
1901855,"Ames city, Iowa",16.2,15.5,-0.7,15.8
1973335,"Sioux City city, Iowa",17.6,16.9,-0.7,17.2
2053775,"Overland Park city, Kansas",20.4,19.7,-0.7,20
2756896,"St. Cloud city, Minnesota",19.9,19.2,-0.7,19.5
3421000,"Elizabeth city, New Jersey",26.7,26,-0.7,26.4
3673000,"Syracuse city, New York",18.4,17.7,-0.7,18
3921000,"Dayton city, Ohio",21.1,20.4,-0.7,20.8
4123850,"Eugene city, Oregon",20.5,19.8,-0.7,20.1
4659020,"Sioux Falls city, South Dakota",17.4,16.7,-0.7,17
4748000,"Memphis city, Tennessee",22.2,21.5,-0.7,21.9
4943660,"Layton city, Utah",24,23.3,-0.7,23.6
1656260,"Nampa city, Idaho",22.9,22.1,-0.8,22.5
3006550,"Billings city, Montana",18.5,17.7,-0.8,18.1
3502000,"Albuquerque city, New Mexico",22.5,21.7,-0.8,22.1
3719000,"Durham city, North Carolina",22.6,21.8,-0.8,22.2
4454640,"Pawtucket city, Rhode Island",25.3,24.5,-0.8,24.9
4804000,"Arlington city, Texas",26.9,26.1,-0.8,26.5
0465000,"Scottsdale city, Arizona",22,21.1,-0.9,21.6
0646842,"Menifee city, California",43.4,42.5,-0.9,43
0664224,"Salinas city, California",25.8,24.9,-0.9,25.4
2649000,"Livonia city, Michigan",23.5,22.6,-0.9,23
2684000,"Warren city, Michigan",26,25.1,-0.9,25.6
3137000,"Omaha city, Nebraska",20.1,19.2,-0.9,19.6
4202000,"Allentown city, Pennsylvania",25.9,25,-0.9,25.4
7232522,"Guaynabo zona urbana, Puerto Rico",25.8,24.9,-0.9,25.4
0973000,"Stamford city, Connecticut",27.1,26.1,-1,26.6
3615000,"Cheektowaga CDP, New York",19.3,18.3,-1,18.8
4817000,"Corpus Christi city, Texas",19.8,18.8,-1,19.3
4858016,"Plano city, Texas",26.3,25.3,-1,25.8
5167000,"Richmond city, Virginia",22.6,21.6,-1,22.1
0608786,"Buena Park city, California",30.7,29.6,-1.1,30.1
0827425,"Fort Collins city, Colorado",21.2,20.1,-1.1,20.6
2642160,"Kalamazoo city, Michigan",18,16.9,-1.1,17.4
2674900,"Southfield city, Michigan",23.4,22.3,-1.1,22.9
3223770,"Enterprise CDP, Nevada",23.5,22.4,-1.1,23
3240000,"Las Vegas city, Nevada",26.8,25.7,-1.1,26.2
3710740,"Cary town, North Carolina",23.8,22.7,-1.1,23.2
4803000,"Amarillo city, Texas",19.5,18.4,-1.1,19
4804462,"Atascocita CDP, Texas",36,34.9,-1.1,35.5
1207875,"Boynton Beach city, Florida",25.5,24.3,-1.2,24.9
1263000,"St. Petersburg city, Florida",24.8,23.6,-1.2,24.2
1779293,"Waukegan city, Illinois",27.1,25.9,-1.2,26.5
2255000,"New Orleans city, Louisiana",23.2,22,-1.2,22.6
2467675,"Rockville city, Maryland",31.8,30.6,-1.2,31.2
5553000,"Milwaukee city, Wisconsin",22.6,21.4,-1.2,22
0407940,"Buckeye city, Arizona",34.2,32.9,-1.3,33.5
0566080,"Springdale city, Arkansas",19.8,18.5,-1.3,19.1
0682996,"Vista city, California",26.8,25.5,-1.3,26.1
1224000,"Fort Lauderdale city, Florida",26.6,25.3,-1.3,26
2603000,"Ann Arbor city, Michigan",19.9,18.6,-1.3,19.2
2771428,"Woodbury city, Minnesota",24.5,23.2,-1.3,23.9
4827000,"Fort Worth city, Texas",27.2,25.9,-1.3,26.5
4841464,"Laredo city, Texas",20.7,19.4,-1.3,20
0610046,"Camarillo city, California",24.1,22.7,-1.4,23.4
0646898,"Merced city, California",27,25.6,-1.4,26.3
0653896,"Ontario city, California",32.8,31.4,-1.4,32.1
0659920,"Redding city, California",17.5,16.1,-1.4,16.8
2970000,"Springfield city, Missouri",18.9,17.5,-1.4,18.2
3918000,"Columbus city, Ohio",23,21.6,-1.4,22.3
4459000,"Providence city, Rhode Island",24,22.6,-1.4,23.3
4967000,"Salt Lake City city, Utah",19.8,18.4,-1.4,19.1
5182000,"Virginia Beach city, Virginia",24.1,22.7,-1.4,23.4
5548000,"Madison city, Wisconsin",20.1,18.7,-1.4,19.4
0651182,"Newport Beach city, California",24.7,23.2,-1.5,24
0665042,"San Buenaventura (Ventura) city, California",25.9,24.4,-1.5,25.1
1230000,"Hialeah city, Florida",29.8,28.3,-1.5,29
1235000,"Jacksonville city, Florida",24.8,23.3,-1.5,24
1271000,"Tampa city, Florida",25.3,23.8,-1.5,24.6
2717000,"Duluth city, Minnesota",16.8,15.3,-1.5,16
4041850,"Lawton city, Oklahoma",16.6,15.1,-1.5,15.9
4206088,"Bethlehem city, Pennsylvania",22.8,21.3,-1.5,22
4714000,"Chattanooga city, Tennessee",20.1,18.6,-1.5,19.4
4962470,"Provo city, Utah",18.9,17.4,-1.5,18.1
0107000,"Birmingham city, Alabama",22.9,21.3,-1.6,22.1
0624680,"Fontana city, California",32.4,30.8,-1.6,31.6
0653322,"Oceanside city, California",30.8,29.2,-1.6,30
0807850,"Boulder city, Colorado",20.7,19.1,-1.6,19.9
1208150,"Brandon CDP, Florida",27.4,25.8,-1.6,26.6
1275875,"Wesley Chapel CDP, Florida",34.4,32.8,-1.6,33.6
2511000,"Cambridge city, Massachusetts",26.8,25.2,-1.6,26
2523000,"Fall River city, Massachusetts",26.1,24.5,-1.6,25.3
2935000,"Independence city, Missouri",24,22.4,-1.6,23.2
3268585,"Spring Valley CDP, Nevada",23,21.4,-1.6,22.2
4861796,"Richardson city, Texas",25.6,24,-1.6,24.8
4957300,"Orem city, Utah",20,18.4,-1.6,19.2
0616532,"Costa Mesa city, California",22.6,20.9,-1.7,21.8
0664000,"Sacramento city, California",26.9,25.2,-1.7,26
1706613,"Bloomington city, Illinois",16.7,15,-1.7,15.8
1912000,"Cedar Rapids city, Iowa",18.7,17,-1.7,17.9
4052500,"Norman city, Oklahoma",23.1,21.4,-1.7,22.2
4752006,"Nashville-Davidson metropolitan government (balance), Tennessee",25.1,23.4,-1.7,24.2
4819000,"Dallas city, Texas",27.4,25.7,-1.7,26.5
4819972,"Denton city, Texas",26.2,24.5,-1.7,25.4
4863500,"Round Rock city, Texas",25.9,24.2,-1.7,25
0473000,"Tempe city, Arizona",22.2,20.4,-1.8,21.3
0630000,"Glendale city, California",27.9,26.1,-1.8,27
0658072,"Pomona city, California",32.9,31.1,-1.8,32
0680812,"Turlock city, California",26.6,24.8,-1.8,25.7
1902305,"Ankeny city, Iowa",20.9,19.1,-1.8,20
2038900,"Lawrence city, Kansas",19.5,17.7,-1.8,18.6
2419125,"Columbia CDP, Maryland",29.7,27.9,-1.8,28.8
2915670,"Columbia city, Missouri",17.9,16.1,-1.8,17
4164900,"Salem city, Oregon",24.5,22.7,-1.8,23.6
4848804,"Missouri City city, Texas",33,31.2,-1.8,32.1
5335415,"Kent city, Washington",31.1,29.3,-1.8,30.2
5370000,"Tacoma city, Washington",29.7,27.9,-1.8,28.8
0535710,"Jonesboro city, Arkansas",19.3,17.4,-1.9,18.4
0637692,"Jurupa Valley city, California",31.7,29.8,-1.9,30.8
0644574,"Lynwood city, California",31.6,29.7,-1.9,30.6
0654652,"Oxnard city, California",26.3,24.4,-1.9,25.4
0804000,"Aurora city, Colorado",30.4,28.5,-1.9,29.4
1207300,"Boca Raton city, Florida",23.6,21.7,-1.9,22.6
1217935,"Doral city, Florida",25.1,23.2,-1.9,24.1
1245000,"Miami city, Florida",28.3,26.4,-1.9,27.4
2836000,"Jackson city, Mississippi",21.1,19.2,-1.9,20.1
3651000,"New York city, New York",41.7,39.8,-1.9,40.8
3684000,"Yonkers city, New York",34.8,32.9,-1.9,33.8
5531000,"Green Bay city, Wisconsin",19.2,17.3,-1.9,18.2
7210334,"Caguas zona urbana, Puerto Rico",32.3,30.4,-1.9,31.3
0524550,"Fort Smith city, Arkansas",17.9,15.9,-2,16.9
0608954,"Burbank city, California",28.8,26.8,-2,27.8
0668196,"San Marcos city, California",27.2,25.2,-2,26.2
1810342,"Carmel city, Indiana",25.4,23.4,-2,24.4
2239475,"Kenner city, Louisiana",27.4,25.4,-2,26.4
